,Company,TypeName,Inches,Cpu,Ram,Memory1,Memory2,Gpu,OpSys,Price
0,Apple,Ultrabook,13.3,Intel Core i5,8,128GB SSD,No memory,Intel Iris Plus,macOS,71378.6832
1,Apple,Ultrabook,13.3,Intel Core i5,8,128GB Flash Storage,No memory,Intel HD Graphics,macOS,47895.5232
2,HP,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,No OS,30636.0
3,Apple,Ultrabook,15.4,Intel Core i7,16,512GB SSD,No memory,AMD Radeon Pro,macOS,135195.336
4,Apple,Ultrabook,13.3,Intel Core i5,8,256GB SSD,No memory,Intel Iris Plus,macOS,96095.808
5,Acer,Notebook,15.6,AMD A9-Series,4,500GB HDD,No memory,AMD Radeon R5,Windows 10,21312.0
6,Apple,Ultrabook,15.4,Intel Core i7,16,256GB Flash Storage,No memory,Intel Iris Pro,Mac OS X,114017.6016
7,Apple,Ultrabook,13.3,Intel Core i5,8,256GB Flash Storage,No memory,Intel HD Graphics,macOS,61735.536
8,Asus,Ultrabook,14.0,Intel Core i7,16,512GB SSD,No memory,Nvidia GeForce MX150,Windows 10,79653.6
9,Acer,Ultrabook,14.0,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,41025.6
10,HP,Notebook,15.6,Intel Core i5,4,500GB HDD,No memory,Intel HD Graphics,No OS,20986.992
11,HP,Notebook,15.6,Intel Core i3,4,500GB HDD,No memory,Intel HD Graphics,No OS,18381.0672
12,Apple,Ultrabook,15.4,Intel Core i7,16,256GB SSD,No memory,AMD Radeon Pro,macOS,130001.6016
13,Dell,Notebook,15.6,Intel Core i3,4,256GB SSD,No memory,AMD Radeon R5,Windows 10,26581.392
14,Apple,Ultrabook,12.0,Intel Core M,8,256GB SSD,No memory,Intel HD Graphics,macOS,67260.672
15,Apple,Ultrabook,13.3,Intel Core i5,8,256GB SSD,No memory,Intel Iris Plus,macOS,80908.344
16,Dell,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,AMD Radeon R5,Windows 10,39693.6
17,Apple,Ultrabook,15.4,Intel Core i7,16,512GB SSD,No memory,AMD Radeon Pro,macOS,152274.24
18,Lenovo,Notebook,15.6,Intel Core i3,8,1TB HDD,No memory,Nvidia GeForce 940MX,No OS,26586.72
19,Dell,Ultrabook,13.3,Intel Core i5,8,128GB SSD,No memory,Intel UHD Graphics,Windows 10,52161.12
21,Lenovo,Gaming,15.6,Intel Core i5,8,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,53226.72
22,HP,Notebook,15.6,AMD E-Series,4,500GB HDD,No memory,AMD Radeon R2,No OS,13746.24
23,Dell,2 in 1 Convertible,13.3,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,43636.32
24,HP,Ultrabook,15.6,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,35111.52
25,Dell,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,22305.1392
26,Apple,Ultrabook,13.3,Intel Core i5,8,128GB Flash Storage,No memory,Intel HD Graphics,Mac OS X,58554.72
27,Dell,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,AMD Radeon 530,Windows 10,42624.0
28,Dell,Ultrabook,15.6,Intel Core i7,8,256GB SSD,256GB SSD,Intel UHD Graphics,Windows 10,69157.44
29,HP,Notebook,17.3,Intel Core i5,8,1TB HDD,No memory,Nvidia GeForce 930MX,Windows 10,47738.88
30,Chuwi,Notebook,15.6,Intel Atom,4,64GB Flash Storage,No memory,Intel HD Graphics,Windows 10,13053.0672
31,Asus,Notebook,14.0,AMD E-Series,2,32GB Flash Storage,No memory,AMD Radeon R2,Windows 10,10602.72
32,HP,Notebook,17.3,AMD A6-Series,4,500GB HDD,No memory,AMD Radeon 530,Windows 10,23389.92
33,Dell,Ultrabook,13.3,Intel Core i7,16,512GB SSD,No memory,Intel UHD Graphics,Windows 10,99580.32
34,Apple,Ultrabook,13.3,Intel Core i5,8,256GB Flash Storage,No memory,Intel HD Graphics,Mac OS X,53173.44
35,Lenovo,Notebook,14.0,Intel Celeron Dual,4,64GB Flash Storage,No memory,Intel HD Graphics,Windows 10,13266.72
36,Acer,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,Intel HD Graphics,Linux,19553.76
37,Dell,Notebook,17.3,Intel Core i5,8,128GB SSD,1TB HDD,AMD Radeon 530,Windows 10,52161.12
38,HP,Notebook,15.6,Intel Core i5,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,26037.4032
39,HP,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce 930MX,Windows 10,46833.12
40,Asus,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,Intel HD Graphics,Linux,20725.92
41,Dell,Gaming,15.6,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,79866.72
42,Asus,Notebook,15.6,Intel Core i5,8,1TB HDD,No memory,Nvidia GeForce 940MX,Linux,27864.9072
43,Acer,Notebook,15.6,Intel Core i5,4,256GB SSD,No memory,Intel UHD Graphics,Windows 10,36336.96
44,Dell,2 in 1 Convertible,17.3,Intel Core i5,12,1TB HDD,No memory,Nvidia GeForce 150MX,Windows 10,53226.72
45,Apple,Ultrabook,13.3,Intel Core i5,8,256GB SSD,No memory,Intel Iris Graphics,macOS,75604.32
47,Asus,Gaming,17.3,AMD Ryzen,8,256GB SSD,1TB HDD,AMD Radeon RX,Windows 10,69210.72
48,Dell,Notebook,15.6,Intel Core i5,4,256GB SSD,No memory,AMD Radeon R5,Windows 10,34045.92
49,Asus,Notebook,17.3,Intel Pentium Quad,4,1TB HDD,No memory,Nvidia GeForce 920MX,Windows 10,24828.48
51,Acer,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce MX150,Windows 10,44808.48
52,HP,Notebook,15.6,AMD A6-Series,4,256GB SSD,No memory,AMD Radeon R4,Windows 10,21231.5472
53,HP,Notebook,13.3,Intel Core i7,8,512GB SSD,No memory,Intel UHD Graphics,Windows 10,58767.84
54,Acer,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,20459.52
55,Dell,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,AMD Radeon 520,Windows 10,40908.384
56,HP,Notebook,15.6,Intel Core i3,4,128GB SSD,No memory,Intel HD Graphics,Windows 10,23389.92
57,Asus,Notebook,15.6,Intel Core i5,4,256GB SSD,No memory,Intel HD Graphics,Windows 10,31232.2032
58,MSI,Gaming,17.3,Intel Core i7,16,256GB SSD,2TB HDD,Nvidia GeForce GTX,Windows 10,130482.72
59,Asus,Notebook,15.6,Intel Core i3,4,256GB SSD,No memory,Intel HD Graphics,Linux,22111.2
60,Dell,Notebook,17.3,Intel Core i7,16,256GB SSD,2TB HDD,AMD Radeon 530,Windows 10,69210.72
61,Dell,Ultrabook,14.0,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,46833.12
62,Lenovo,Notebook,14.0,Intel Core i3,8,256GB SSD,No memory,Intel HD Graphics,No OS,31914.72
63,Asus,Notebook,14.0,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,50136.48
64,HP,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,36763.2
65,Asus,Ultrabook,15.6,Intel Core i7,16,512GB SSD,No memory,Nvidia GeForce GTX,Windows 10,105654.24
66,HP,Notebook,15.6,Intel Core i3,4,500GB HDD,No memory,AMD Radeon 520,Windows 10,23373.4032
67,HP,Notebook,14.0,Intel Celeron Dual,4,32GB SSD,No memory,Intel HD Graphics,Windows 10,12201.12
68,Lenovo,Notebook,15.6,Intel Core i5,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,29250.72
69,Asus,Gaming,17.3,Intel Core i7,12,1TB HDD,No memory,Nvidia GeForce GTX,Linux,50562.72
70,Microsoft,Ultrabook,13.5,Intel Core i5,4,128GB SSD,No memory,Intel HD Graphics,Windows 10 S,58021.92
71,Dell,Ultrabook,13.3,Intel Core i7,64,256GB SSD,No memory,AMD Radeon 530,Windows 10,50882.4
72,Dell,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,AMD Radeon 530,Windows 10,46353.6
73,MSI,Gaming,17.3,Intel Core i5,8,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,58341.6
74,Acer,Notebook,14.0,Intel Core i3,8,1TB HDD,No memory,Intel HD Graphics,Windows 10,20725.92
75,Asus,Gaming,15.6,Intel Core i7,8,1TB HDD,No memory,Nvidia GeForce GTX,Windows 10,50562.72
76,Lenovo,Notebook,15.6,Intel Core i5,8,2TB HDD,No memory,Intel HD Graphics,No OS,27652.32
77,Dell,Notebook,15.6,Intel Core i7,8,128GB SSD,1TB HDD,Intel UHD Graphics,Windows 10,45554.4
78,Acer,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,Nvidia GeForce MX130,Windows 10,28238.4
79,HP,Notebook,17.3,Intel Core i5,8,128GB SSD,1TB HDD,Nvidia GeForce 930MX,Windows 10,52054.56
80,Dell,Ultrabook,15.6,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,58403.4048
81,Apple,Ultrabook,12.0,Intel Core i5,8,512GB SSD,No memory,Intel HD Graphics,macOS,80452.8
82,HP,Notebook,14.0,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,45820.8
83,Lenovo,Notebook,15.6,AMD A6-Series,4,128GB SSD,No memory,AMD R4 Graphics,Windows 10,21258.72
84,Acer,Notebook,15.6,AMD A9-Series,4,1TB HDD,No memory,AMD Radeon R5,Windows 10,21045.6
85,Dell,Gaming,15.6,Intel Core i7,16,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,71874.72
86,HP,Ultrabook,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce GTX,Windows 10,37242.72
87,HP,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,31914.1872
88,Asus,Gaming,15.6,Intel Core i7,16,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,77202.72
89,Dell,Ultrabook,13.3,Intel Core i7,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,87858.72
90,Asus,Gaming,15.6,AMD FX 9830P,8,1TB HDD,No memory,AMD Radeon RX,Windows 10,37242.72
91,Acer,Notebook,15.6,Intel Core i7,2,1TB HDD,No memory,Nvidia GeForce MX150,Windows 10,36709.92
92,HP,Notebook,13.3,Intel Core i7,16,512GB SSD,No memory,Intel UHD Graphics,Windows 10,63776.16
93,Dell,Gaming,15.6,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce GTX,Windows 10,63669.6
94,Asus,Ultrabook,14.0,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,55890.72
95,Acer,2 in 1 Convertible,13.3,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,45128.16
96,Dell,Notebook,15.6,Intel Core i7,8,1TB HDD,No memory,AMD Radeon R5,Linux,31962.672
97,Dell,Notebook,15.6,Intel Core i3,4,256GB SSD,No memory,AMD Radeon R5,Linux,25840.8
98,Asus,Notebook,15.6,Intel Core i3,6,256GB SSD,No memory,Nvidia GeForce 920M,Windows 10,30742.56
99,HP,Gaming,15.6,Intel Core i7,12,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,66546.72
100,HP,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,AMD Radeon 530,Windows 10,38308.32
101,HP,Notebook,15.6,AMD E-Series,4,500GB HDD,No memory,AMD Radeon R2,Windows 10,18594.72
102,Dell,Notebook,15.6,Intel Core i5,8,1TB HDD,No memory,AMD Radeon 520,Linux,34472.16
103,HP,Ultrabook,13.3,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce MX150,Windows 10,59620.32
104,Microsoft,Ultrabook,13.5,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10 S,71395.2
105,HP,Notebook,14.0,Intel Core i5,6,256GB SSD,No memory,Nvidia GeForce 940MX,Windows 10,35111.52
106,Lenovo,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,22105.872
107,Asus,Ultrabook,14.0,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce 940MX,Windows 10,63563.04
108,MSI,Gaming,15.6,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,69210.72
109,Lenovo,Notebook,14.0,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,78854.4
110,Asus,Ultrabook,15.6,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce MX150,Windows 10,67239.36
111,Dell,Ultrabook,13.3,Intel Core i7,8,256GB SSD,No memory,Intel Iris Plus,Windows 10,73473.12
112,Lenovo,2 in 1 Convertible,13.3,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,74538.72
113,HP,Notebook,14.0,Intel Core i5,4,500GB HDD,No memory,Intel UHD Graphics,Windows 10,38468.16
114,Dell,Ultrabook,13.3,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,86793.12
116,HP,Notebook,14.0,Intel Core i7,8,512GB SSD,No memory,Intel UHD Graphics,Windows 10,57755.52
117,Dell,Notebook,15.6,Intel Core i7,8,256GB SSD,1TB HDD,Nvidia GeForce 940MX,Windows 10,60223.9824
118,Asus,Notebook,17.3,Intel Core i3,4,1TB HDD,No memory,Nvidia GeForce 920MX,Windows 10,30049.92
119,Asus,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce 940MX,Windows 10,59567.04
120,Acer,Notebook,15.6,Intel Core i3,6,1TB HDD,No memory,Intel HD Graphics,Windows 10,25521.12
121,MSI,Gaming,15.6,Intel Core i7,16,256GB SSD,2TB HDD,Nvidia GeForce GTX,Windows 10,119427.12
122,Lenovo,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce 940MX,No OS,33513.12
123,HP,Notebook,17.3,Intel Core i7,16,512GB SSD,No memory,Nvidia GeForce 930MX,Windows 10,67718.88
124,Acer,Notebook,15.6,AMD A9-Series,4,256GB SSD,No memory,AMD Radeon R5,Windows 10,24029.28
126,HP,Notebook,14.0,Intel Core i5,8,1TB HDD,No memory,Intel UHD Graphics,Windows 10,43263.36
127,Asus,Notebook,14.0,AMD E-Series,4,64GB SSD,No memory,AMD Radeon R2,Windows 10 S,14811.3072
128,Dell,Notebook,17.3,Intel Core i7,16,256GB SSD,2TB HDD,AMD Radeon 530,Windows 10,74378.88
129,HP,Notebook,17.3,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,49443.84
130,Dell,Notebook,15.6,Intel Core i5,8,1TB HDD,No memory,AMD Radeon R7,Windows 10,34045.3872
131,Dell,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,AMD Radeon R5,Windows 10,23922.72
132,Acer,Ultrabook,14.0,Intel Core i7,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,47099.52
133,Acer,Notebook,15.6,Intel Core i3,4,256GB SSD,No memory,Nvidia GeForce MX130,Windows 10,30476.16
134,HP,Notebook,15.6,Intel Core i7,8,1TB HDD,No memory,Intel HD Graphics,Windows 10,31861.44
135,HP,Notebook,14.0,Intel Core i7,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,52640.64
136,Lenovo,Notebook,15.6,Intel Celeron Dual,4,1TB HDD,No memory,Intel HD Graphics,No OS,13445.7408
137,Asus,Gaming,17.3,Intel Core i5,8,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,49976.64
138,Lenovo,Notebook,15.6,Intel Core i5,4,1TB HDD,No memory,Nvidia GeForce 920MX,No OS,26586.72
139,HP,Notebook,13.3,Intel Core i5,4,256GB SSD,No memory,Intel HD Graphics,Windows 10,37242.72
140,Acer,Notebook,17.3,Intel Core i3,4,1TB HDD,No memory,Nvidia GeForce MX130,Windows 10,34898.4
141,Lenovo,Notebook,14.0,Intel Core i5,8,256GB SSD,No memory,AMD Radeon RX,Windows 10,59461.5456
142,Lenovo,Gaming,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce GTX,No OS,46300.32
143,Toshiba,Notebook,15.6,Intel Core i5,4,500GB HDD,No memory,Intel HD Graphics,Windows 10,32074.56
144,HP,Notebook,15.6,AMD A6-Series,4,256GB SSD,No memory,AMD Radeon R4,Windows 10,19660.32
145,Asus,Ultrabook,14.0,Intel Core i7,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,58554.72
146,HP,Ultrabook,12.5,Intel Core M,8,512GB SSD,No memory,Intel HD Graphics,Windows 10,107305.92
147,Asus,Notebook,15.6,Intel Celeron Dual,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,18328.32
149,Acer,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,23816.16
150,Dell,Gaming,15.6,Intel Core i7,16,512GB SSD,No memory,Nvidia GeForce GTX,Windows 10,66560.5728
151,Dell,Gaming,15.6,Intel Core i7,8,1.0TB Hybrid,No memory,Nvidia GeForce GTX,Windows 10,47898.72
152,Lenovo,Notebook,15.6,Intel Core i5,4,128GB SSD,No memory,Intel HD Graphics,Windows 10,26533.44
153,MSI,Gaming,17.3,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,100699.2
154,HP,Ultrabook,14.0,Intel Core i5,4,256GB SSD,No memory,Intel HD Graphics,Windows 10,57648.96
155,HP,Notebook,15.6,Intel Core i5,6,256GB SSD,No memory,AMD Radeon 520,Windows 10,32980.32
156,Lenovo,2 in 1 Convertible,14.0,Intel Core i3,4,256GB SSD,No memory,Intel HD Graphics,Windows 10,33513.12
157,Asus,2 in 1 Convertible,13.3,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,70063.2
158,Dell,2 in 1 Convertible,15.6,Intel Core i7,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,55890.72
159,Toshiba,Notebook,15.6,Intel Core i3,4,500GB HDD,No memory,Intel HD Graphics,Windows 10,23816.16
